seed,extra_distractors,method,precision_at_2,recall_at_2
542,0,semantic_only,1.0,0.6666666666666666
542,0,ontology_guided,1.0,0.6666666666666666
545,0,semantic_only,1.0,1.0
545,0,ontology_guided,1.0,1.0
546,0,semantic_only,0.5,1.0
546,0,ontology_guided,1.0,1.0
548,0,semantic_only,0.5,1.0
548,0,ontology_guided,1.0,1.0
553,0,semantic_only,0.5,1.0
553,0,ontology_guided,1.0,1.0
555,0,semantic_only,0.5,1.0
555,0,ontology_guided,0.5,1.0
575,0,semantic_only,0.5,1.0
575,0,ontology_guided,1.0,1.0
577,0,semantic_only,0.0,0.0
577,0,ontology_guided,0.5,1.0
582,0,semantic_only,1.0,1.0
582,0,ontology_guided,1.0,1.0
587,0,semantic_only,0.0,0.0
587,0,ontology_guided,1.0,1.0
592,0,semantic_only,0.5,1.0
592,0,ontology_guided,1.0,1.0
593,0,semantic_only,1.0,0.6666666666666666
593,0,ontology_guided,1.0,0.6666666666666666
596,0,semantic_only,1.0,0.6666666666666666
596,0,ontology_guided,1.0,0.6666666666666666
605,0,semantic_only,0.5,1.0
605,0,ontology_guided,1.0,1.0
606,0,semantic_only,1.0,0.5
606,0,ontology_guided,1.0,0.5
608,0,semantic_only,0.5,1.0
608,0,ontology_guided,0.5,1.0
615,0,semantic_only,1.0,1.0
615,0,ontology_guided,1.0,1.0
623,0,semantic_only,0.5,1.0
623,0,ontology_guided,0.5,1.0
627,0,semantic_only,0.5,1.0
627,0,ontology_guided,0.5,1.0
645,0,semantic_only,0.5,1.0
645,0,ontology_guided,1.0,1.0
652,0,semantic_only,0.5,1.0
652,0,ontology_guided,1.0,1.0
658,0,semantic_only,0.5,1.0
658,0,ontology_guided,0.5,1.0
664,0,semantic_only,0.0,0.0
664,0,ontology_guided,0.5,1.0
668,0,semantic_only,0.5,1.0
668,0,ontology_guided,1.0,1.0
672,0,semantic_only,0.5,1.0
672,0,ontology_guided,0.5,1.0
681,0,semantic_only,0.5,1.0
681,0,ontology_guided,0.5,1.0
692,0,semantic_only,0.5,1.0
692,0,ontology_guided,0.5,1.0
696,0,semantic_only,0.5,1.0
696,0,ontology_guided,0.5,1.0
711,0,semantic_only,1.0,0.5
711,0,ontology_guided,1.0,0.5
712,0,semantic_only,0.5,1.0
712,0,ontology_guided,1.0,1.0
713,0,semantic_only,0.0,0.0
713,0,ontology_guided,0.5,1.0
716,0,semantic_only,0.5,1.0
716,0,ontology_guided,0.5,1.0
717,0,semantic_only,0.5,1.0
717,0,ontology_guided,0.5,1.0
718,0,semantic_only,1.0,0.6666666666666666
718,0,ontology_guided,1.0,0.6666666666666666
726,0,semantic_only,0.0,0.0
726,0,ontology_guided,1.0,1.0
733,0,semantic_only,0.5,1.0
733,0,ontology_guided,1.0,1.0
737,0,semantic_only,0.5,1.0
737,0,ontology_guided,0.5,1.0
739,0,semantic_only,1.0,1.0
739,0,ontology_guided,1.0,1.0
741,0,semantic_only,1.0,1.0
741,0,ontology_guided,1.0,1.0
754,0,semantic_only,0.5,1.0
754,0,ontology_guided,0.5,1.0
760,0,semantic_only,0.5,1.0
760,0,ontology_guided,1.0,1.0
772,0,semantic_only,0.5,1.0
772,0,ontology_guided,0.5,1.0
774,0,semantic_only,1.0,0.6666666666666666
774,0,ontology_guided,0.5,0.3333333333333333
780,0,semantic_only,1.0,1.0
780,0,ontology_guided,1.0,1.0
788,0,semantic_only,0.5,1.0
788,0,ontology_guided,0.5,1.0
789,0,semantic_only,0.0,0.0
789,0,ontology_guided,1.0,1.0
791,0,semantic_only,0.0,0.0
791,0,ontology_guided,1.0,1.0
796,0,semantic_only,0.0,0.0
796,0,ontology_guided,1.0,1.0
799,0,semantic_only,0.5,1.0
799,0,ontology_guided,0.5,1.0
805,0,semantic_only,0.5,1.0
805,0,ontology_guided,0.5,1.0
811,0,semantic_only,0.5,1.0
811,0,ontology_guided,1.0,1.0
816,0,semantic_only,1.0,1.0
816,0,ontology_guided,1.0,1.0
820,0,semantic_only,0.5,1.0
820,0,ontology_guided,0.5,1.0
822,0,semantic_only,1.0,1.0
822,0,ontology_guided,0.5,0.5
825,0,semantic_only,0.5,1.0
825,0,ontology_guided,1.0,1.0
827,0,semantic_only,0.5,1.0
827,0,ontology_guided,0.5,1.0
828,0,semantic_only,0.5,1.0
828,0,ontology_guided,1.0,1.0
829,0,semantic_only,0.5,1.0
829,0,ontology_guided,1.0,1.0
837,0,semantic_only,0.5,1.0
837,0,ontology_guided,0.5,1.0
840,0,semantic_only,0.5,1.0
840,0,ontology_guided,1.0,1.0
851,0,semantic_only,0.5,1.0
851,0,ontology_guided,1.0,1.0
861,0,semantic_only,1.0,0.6666666666666666
861,0,ontology_guided,1.0,0.6666666666666666
869,0,semantic_only,0.5,1.0
869,0,ontology_guided,0.5,1.0
879,0,semantic_only,0.5,1.0
879,0,ontology_guided,0.5,1.0
882,0,semantic_only,0.5,1.0
882,0,ontology_guided,1.0,1.0
891,0,semantic_only,0.5,1.0
891,0,ontology_guided,0.5,1.0
898,0,semantic_only,0.5,1.0
898,0,ontology_guided,1.0,1.0
901,0,semantic_only,0.5,1.0
901,0,ontology_guided,1.0,1.0
909,0,semantic_only,1.0,1.0
909,0,ontology_guided,1.0,1.0
915,0,semantic_only,0.5,1.0
915,0,ontology_guided,1.0,1.0
919,0,semantic_only,0.5,1.0
919,0,ontology_guided,1.0,1.0
922,0,semantic_only,1.0,1.0
922,0,ontology_guided,1.0,1.0
928,0,semantic_only,1.0,0.6666666666666666
928,0,ontology_guided,1.0,0.6666666666666666
952,0,semantic_only,1.0,1.0
952,0,ontology_guided,1.0,1.0
968,0,semantic_only,0.5,1.0
968,0,ontology_guided,0.5,1.0
970,0,semantic_only,0.0,0.0
970,0,ontology_guided,0.5,1.0
985,0,semantic_only,0.0,0.0
985,0,ontology_guided,0.5,1.0
998,0,semantic_only,0.5,1.0
998,0,ontology_guided,0.5,1.0
4,2,semantic_only,1.0,1.0
4,2,ontology_guided,1.0,1.0
5,2,semantic_only,0.0,0.0
5,2,ontology_guided,0.5,1.0
8,2,semantic_only,1.0,1.0
8,2,ontology_guided,1.0,1.0
9,2,semantic_only,0.0,0.0
9,2,ontology_guided,0.5,1.0
12,2,semantic_only,0.0,0.0
12,2,ontology_guided,1.0,1.0
13,2,semantic_only,1.0,0.6666666666666666
13,2,ontology_guided,1.0,0.6666666666666666
16,2,semantic_only,1.0,0.6666666666666666
16,2,ontology_guided,1.0,0.6666666666666666
22,2,semantic_only,0.5,1.0
22,2,ontology_guided,1.0,1.0
24,2,semantic_only,0.0,0.0
24,2,ontology_guided,0.5,1.0
28,2,semantic_only,0.5,1.0
28,2,ontology_guided,0.5,1.0
31,2,semantic_only,1.0,1.0
31,2,ontology_guided,1.0,1.0
44,2,semantic_only,1.0,0.6666666666666666
44,2,ontology_guided,1.0,0.6666666666666666
51,2,semantic_only,1.0,1.0
51,2,ontology_guided,1.0,1.0
59,2,semantic_only,0.5,1.0
59,2,ontology_guided,1.0,1.0
63,2,semantic_only,0.5,1.0
63,2,ontology_guided,0.5,1.0
66,2,semantic_only,1.0,1.0
66,2,ontology_guided,1.0,1.0
67,2,semantic_only,1.0,1.0
67,2,ontology_guided,1.0,1.0
70,2,semantic_only,1.0,1.0
70,2,ontology_guided,0.5,0.5
79,2,semantic_only,0.5,1.0
79,2,ontology_guided,1.0,1.0
81,2,semantic_only,0.5,1.0
81,2,ontology_guided,1.0,1.0
91,2,semantic_only,1.0,1.0
91,2,ontology_guided,1.0,1.0
99,2,semantic_only,1.0,0.6666666666666666
99,2,ontology_guided,1.0,0.6666666666666666
100,2,semantic_only,1.0,1.0
100,2,ontology_guided,1.0,1.0
111,2,semantic_only,1.0,1.0
111,2,ontology_guided,1.0,1.0
113,2,semantic_only,0.5,1.0
113,2,ontology_guided,0.5,1.0
116,2,semantic_only,0.5,1.0
116,2,ontology_guided,1.0,1.0
121,2,semantic_only,1.0,1.0
121,2,ontology_guided,1.0,1.0
134,2,semantic_only,0.5,1.0
134,2,ontology_guided,0.5,1.0
136,2,semantic_only,1.0,0.5
136,2,ontology_guided,0.5,0.25
143,2,semantic_only,1.0,1.0
143,2,ontology_guided,1.0,1.0
144,2,semantic_only,0.0,0.0
144,2,ontology_guided,0.5,1.0
154,2,semantic_only,1.0,1.0
154,2,ontology_guided,1.0,1.0
156,2,semantic_only,1.0,0.6666666666666666
156,2,ontology_guided,0.5,0.3333333333333333
162,2,semantic_only,0.5,1.0
162,2,ontology_guided,0.5,1.0
164,2,semantic_only,1.0,1.0
164,2,ontology_guided,1.0,1.0
165,2,semantic_only,0.5,1.0
165,2,ontology_guided,0.5,1.0
166,2,semantic_only,1.0,1.0
166,2,ontology_guided,1.0,1.0
168,2,semantic_only,0.0,0.0
168,2,ontology_guided,0.5,1.0
176,2,semantic_only,0.5,1.0
176,2,ontology_guided,0.5,1.0
198,2,semantic_only,0.5,1.0
198,2,ontology_guided,1.0,1.0
202,2,semantic_only,1.0,0.6666666666666666
202,2,ontology_guided,1.0,0.6666666666666666
203,2,semantic_only,0.5,1.0
203,2,ontology_guided,0.5,1.0
204,2,semantic_only,1.0,0.6666666666666666
204,2,ontology_guided,1.0,0.6666666666666666
227,2,semantic_only,1.0,0.6666666666666666
227,2,ontology_guided,1.0,0.6666666666666666
234,2,semantic_only,0.5,1.0
234,2,ontology_guided,1.0,1.0
238,2,semantic_only,0.5,1.0
238,2,ontology_guided,0.5,1.0
239,2,semantic_only,0.5,1.0
239,2,ontology_guided,1.0,1.0
251,2,semantic_only,1.0,0.6666666666666666
251,2,ontology_guided,0.5,0.3333333333333333
258,2,semantic_only,0.0,0.0
258,2,ontology_guided,0.5,1.0
259,2,semantic_only,0.5,1.0
259,2,ontology_guided,0.5,1.0
266,2,semantic_only,1.0,1.0
266,2,ontology_guided,0.5,0.5
274,2,semantic_only,0.5,1.0
274,2,ontology_guided,1.0,1.0
281,2,semantic_only,0.5,1.0
281,2,ontology_guided,1.0,1.0
284,2,semantic_only,0.5,1.0
284,2,ontology_guided,1.0,1.0
298,2,semantic_only,0.5,1.0
298,2,ontology_guided,0.5,1.0
301,2,semantic_only,0.0,0.0
301,2,ontology_guided,1.0,1.0
309,2,semantic_only,1.0,1.0
309,2,ontology_guided,1.0,1.0
314,2,semantic_only,0.5,1.0
314,2,ontology_guided,0.5,1.0
316,2,semantic_only,0.5,1.0
316,2,ontology_guided,0.5,1.0
326,2,semantic_only,0.5,1.0
326,2,ontology_guided,1.0,1.0
332,2,semantic_only,0.5,1.0
332,2,ontology_guided,1.0,1.0
334,2,semantic_only,1.0,1.0
334,2,ontology_guided,1.0,1.0
336,2,semantic_only,0.5,1.0
336,2,ontology_guided,1.0,1.0
339,2,semantic_only,0.5,1.0
339,2,ontology_guided,0.5,1.0
352,2,semantic_only,0.5,1.0
352,2,ontology_guided,1.0,1.0
354,2,semantic_only,0.5,1.0
354,2,ontology_guided,0.5,1.0
357,2,semantic_only,1.0,1.0
357,2,ontology_guided,1.0,1.0
368,2,semantic_only,0.5,1.0
368,2,ontology_guided,0.5,1.0
373,2,semantic_only,1.0,1.0
373,2,ontology_guided,1.0,1.0
377,2,semantic_only,0.5,1.0
377,2,ontology_guided,1.0,1.0
378,2,semantic_only,1.0,1.0
378,2,ontology_guided,1.0,1.0
380,2,semantic_only,0.5,1.0
380,2,ontology_guided,0.5,1.0
391,2,semantic_only,0.0,0.0
391,2,ontology_guided,1.0,1.0
393,2,semantic_only,0.0,0.0
393,2,ontology_guided,1.0,1.0
394,2,semantic_only,1.0,1.0
394,2,ontology_guided,1.0,1.0
400,2,semantic_only,0.5,1.0
400,2,ontology_guided,1.0,1.0
401,2,semantic_only,0.5,1.0
401,2,ontology_guided,1.0,1.0
403,2,semantic_only,0.5,1.0
403,2,ontology_guided,0.5,1.0
411,2,semantic_only,0.5,1.0
411,2,ontology_guided,0.5,1.0
415,2,semantic_only,0.5,1.0
415,2,ontology_guided,0.5,1.0
426,2,semantic_only,0.5,1.0
426,2,ontology_guided,1.0,1.0
429,2,semantic_only,1.0,0.5
429,2,ontology_guided,1.0,0.5
431,2,semantic_only,1.0,0.6666666666666666
431,2,ontology_guided,1.0,0.6666666666666666
441,2,semantic_only,1.0,1.0
441,2,ontology_guided,1.0,1.0
446,2,semantic_only,1.0,0.6666666666666666
446,2,ontology_guided,1.0,0.6666666666666666
447,2,semantic_only,0.5,1.0
447,2,ontology_guided,0.5,1.0
449,2,semantic_only,0.5,1.0
449,2,ontology_guided,1.0,1.0
453,2,semantic_only,1.0,1.0
453,2,ontology_guided,1.0,1.0
455,2,semantic_only,1.0,0.5
455,2,ontology_guided,0.5,0.25
458,2,semantic_only,0.5,1.0
458,2,ontology_guided,0.5,1.0
463,2,semantic_only,0.5,1.0
463,2,ontology_guided,1.0,1.0
465,2,semantic_only,0.5,1.0
465,2,ontology_guided,0.5,1.0
466,2,semantic_only,1.0,1.0
466,2,ontology_guided,1.0,1.0
503,2,semantic_only,1.0,1.0
503,2,ontology_guided,1.0,1.0
513,2,semantic_only,0.5,1.0
513,2,ontology_guided,1.0,1.0
515,2,semantic_only,0.5,1.0
515,2,ontology_guided,0.5,1.0
523,2,semantic_only,0.0,0.0
523,2,ontology_guided,0.5,1.0
529,2,semantic_only,1.0,0.5
529,2,ontology_guided,0.5,0.25
532,2,semantic_only,0.5,1.0
532,2,ontology_guided,1.0,1.0
535,2,semantic_only,0.5,1.0
535,2,ontology_guided,0.5,1.0
541,2,semantic_only,0.0,0.0
541,2,ontology_guided,0.5,1.0
542,2,semantic_only,1.0,0.6666666666666666
542,2,ontology_guided,1.0,0.6666666666666666
545,2,semantic_only,1.0,1.0
545,2,ontology_guided,0.5,0.5
546,2,semantic_only,0.5,1.0
546,2,ontology_guided,1.0,1.0
548,2,semantic_only,0.5,1.0
548,2,ontology_guided,1.0,1.0
553,2,semantic_only,0.5,1.0
553,2,ontology_guided,1.0,1.0
555,2,semantic_only,0.5,1.0
555,2,ontology_guided,1.0,1.0
575,2,semantic_only,0.5,1.0
575,2,ontology_guided,1.0,1.0
577,2,semantic_only,0.0,0.0
577,2,ontology_guided,0.5,1.0
587,2,semantic_only,0.0,0.0
587,2,ontology_guided,1.0,1.0
592,2,semantic_only,0.5,1.0
592,2,ontology_guided,1.0,1.0
593,2,semantic_only,1.0,0.6666666666666666
593,2,ontology_guided,0.5,0.3333333333333333
596,2,semantic_only,1.0,0.6666666666666666
596,2,ontology_guided,1.0,0.6666666666666666
605,2,semantic_only,0.5,1.0
605,2,ontology_guided,0.5,1.0
606,2,semantic_only,1.0,0.5
606,2,ontology_guided,1.0,0.5
608,2,semantic_only,0.5,1.0
608,2,ontology_guided,0.5,1.0
613,2,semantic_only,1.0,0.6666666666666666
613,2,ontology_guided,1.0,0.6666666666666666
615,2,semantic_only,1.0,1.0
615,2,ontology_guided,1.0,1.0
627,2,semantic_only,0.5,1.0
627,2,ontology_guided,0.5,1.0
637,2,semantic_only,0.5,1.0
637,2,ontology_guided,0.5,1.0
645,2,semantic_only,0.5,1.0
645,2,ontology_guided,1.0,1.0
652,2,semantic_only,0.5,1.0
652,2,ontology_guided,1.0,1.0
658,2,semantic_only,0.5,1.0
658,2,ontology_guided,0.5,1.0
664,2,semantic_only,0.0,0.0
664,2,ontology_guided,0.5,1.0
668,2,semantic_only,0.5,1.0
668,2,ontology_guided,0.5,1.0
681,2,semantic_only,0.5,1.0
681,2,ontology_guided,1.0,1.0
692,2,semantic_only,0.5,1.0
